scraped_at,date_text,time,away,away_score,home,home_score,game_code,venue,game_url
2025-12-29T06:05:34+00:00,Oct 05 (Sun),3:00 PM,Belleville Bulls,1,Ajax-Pickering Raiders,3,U14AA-034,Ajax Community Centre (Pad 4),https://lakeshorehockeyleague.net/Groups/1313/Games/2224642/
2025-12-29T06:05:34+00:00,Oct 01 (Wed),7:45 PM,Whitby Wildcats,1,Ajax-Pickering Raiders,1,U14AA-065,Don Beer Arena (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224650/
2025-12-29T06:05:35+00:00,Oct 19 (Sun),2:15 PM,Clarington Toros,4,Belleville Bulls,1,U14AA-080,Quinte Sports & Wellness Centre (FDC Pad),https://lakeshorehockeyleague.net/Groups/1313/Games/2224652/
2025-12-29T06:05:35+00:00,Oct 04 (Sat),5:30 PM,North Durham Warriors,5,Belleville Bulls,0,U14AA-041,Quinte Sports & Wellness Centre (Wally Dever Arena),https://lakeshorehockeyleague.net/Groups/1313/Games/2224654/
2025-12-29T06:05:36+00:00,Oct 17 (Fri),6:00 PM,Whitby Wildcats,3,Belleville Bulls,1,U14AA-011,Quinte Sports & Wellness Centre (Mackay Arena),https://lakeshorehockeyleague.net/Groups/1313/Games/2224659/
2025-12-29T06:05:36+00:00,Oct 15 (Wed),7:30 PM,Ajax-Pickering Raiders,3,Clarington Toros,5,U14AA-059,Garnet B Rickard Recreation Complex (Toyota),https://lakeshorehockeyleague.net/Groups/1313/Games/2224660/
2025-12-29T06:05:37+00:00,Oct 22 (Wed),7:30 PM,Northumberland Nighthawks,1,Clarington Toros,5,U14AA-028,Garnet B Rickard Recreation Complex (Toyota),https://lakeshorehockeyleague.net/Groups/1313/Games/2224664/
2025-12-29T06:05:37+00:00,Oct 19 (Sun),4:00 PM,Oshawa Generals,3,Kingston Canadians,6,U14AA-071,Cataraqui Community Centre (Cataraqui Pad),https://lakeshorehockeyleague.net/Groups/1313/Games/2224674/
2025-12-29T06:05:38+00:00,Oct 04 (Sat),2:15 PM,Quinte West Hawks,2,Kingston Canadians,2,U14AA-066,Cataraqui Community Centre (Cataraqui Pad),https://lakeshorehockeyleague.net/Groups/1313/Games/2224676/
2025-12-29T06:05:38+00:00,Oct 19 (Sun),6:30 PM,Peterborough Petes,4,North Durham Warriors,4,U14AA-067,Scugog Arena (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224684/
2025-12-29T06:05:39+00:00,Oct 05 (Sun),5:00 PM,Quinte West Hawks,7,North Durham Warriors,8,U14AA-106,Scugog Arena (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224685/
2025-12-29T06:05:39+00:00,Oct 05 (Sun),6:00 PM,Kingston Canadians,3,Northumberland Nighthawks,0,U14AA-012,Cobourg Community Centre (Bowl),https://lakeshorehockeyleague.net/Groups/1313/Games/2224690/
2025-12-29T06:05:40+00:00,Oct 11 (Sat),7:15 PM,Ajax-Pickering Raiders,3,Oshawa Generals,3,U14AA-073,Delpark Homes Centre (Pad 3),https://lakeshorehockeyleague.net/Groups/1313/Games/2224696/
2025-12-29T06:05:40+00:00,Oct 04 (Sat),7:15 PM,Northumberland Nighthawks,1,Oshawa Generals,2,U14AA-026,Delpark Homes Centre (Pad 3),https://lakeshorehockeyleague.net/Groups/1313/Games/2224701/
2025-12-29T06:05:41+00:00,Oct 10 (Fri),8:00 PM,Belleville Bulls,1,Peterborough Petes,1,U14AA-118,Miskin Law Community Center (South Pad),https://lakeshorehockeyleague.net/Groups/1313/Games/2224706/
2025-12-29T06:05:41+00:00,Oct 02 (Thu),7:00 PM,Northumberland Nighthawks,2,Peterborough Petes,3,U14AA-001,Healthy Planet Arena (South Pad),https://lakeshorehockeyleague.net/Groups/1313/Games/2224710/
2025-12-29T06:05:42+00:00,Oct 12 (Sun),1:30 PM,Oshawa Generals,2,Peterborough Petes,2,U14AA-061,Healthy Planet Arena (Sign-A-Field Pad),https://lakeshorehockeyleague.net/Groups/1313/Games/2224711/
2025-12-29T06:05:42+00:00,Oct 25 (Sat),2:15 PM,Ajax-Pickering Raiders,3,Quinte West Hawks,9,U14AA-042,Duncan McDonald Memorial Gardens (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224714/
2025-12-29T06:05:43+00:00,Oct 18 (Sat),2:30 PM,North Durham Warriors,3,Quinte West Hawks,6,U14AA-093,Duncan McDonald Memorial Gardens (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224718/
2025-12-29T06:05:43+00:00,Oct 11 (Sat),3:30 PM,Whitby Wildcats,2,Quinte West Hawks,7,U14AA-048,Duncan McDonald Memorial Gardens (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224722/
2025-12-29T06:05:44+00:00,Oct 30 (Thu),6:45 PM,Northumberland Nighthawks,2,Whitby Wildcats,0,U14AA-058,McKinney Centre (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224728/
2025-12-29T06:05:44+00:00,Oct 05 (Sun),2:15 PM,Oshawa Generals,4,Whitby Wildcats,2,U14AA-094,Iroquois Park Sports Centre (Pad 4),https://lakeshorehockeyleague.net/Groups/1313/Games/2224729/
2025-12-29T06:05:45+00:00,Oct 29 (Wed),7:45 PM,Oshawa Generals,1,Ajax-Pickering Raiders,0,U14AA-031,Don Beer Arena (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224870/
2025-12-29T06:05:46+00:00,Oct 24 (Fri),7:30 PM,Kingston Canadians,5,Belleville Bulls,1,U14AA-032,Quinte Sports & Wellness Centre (Mackay Arena),https://lakeshorehockeyleague.net/Groups/1313/Games/2224873/
2025-12-29T06:05:46+00:00,Oct 12 (Sun),2:15 PM,Northumberland Nighthawks,1,Belleville Bulls,4,U14AA-068,Quinte Sports & Wellness Centre (FDC Pad),https://lakeshorehockeyleague.net/Groups/1313/Games/2224874/
2025-12-29T06:05:47+00:00,Oct 25 (Sat),7:15 PM,Belleville Bulls,0,Clarington Toros,2,U14AA-063,Garnet B Rickard Recreation Complex (Toyota),https://lakeshorehockeyleague.net/Groups/1313/Games/2224877/
2025-12-29T06:05:47+00:00,Oct 26 (Sun),4:00 PM,Ajax-Pickering Raiders,2,Kingston Canadians,3,U14AA-004,Cataraqui Community Centre (Cataraqui Pad),https://lakeshorehockeyleague.net/Groups/1313/Games/2224881/
2025-12-29T06:05:47+00:00,Oct 18 (Sat),5:00 PM,Northumberland Nighthawks,0,Kingston Canadians,4,U14AA-025,INVISTA Centre (Selkirk),https://lakeshorehockeyleague.net/Groups/1313/Games/2224883/
2025-12-29T06:05:48+00:00,Oct 11 (Sat),5:00 PM,Peterborough Petes,0,Kingston Canadians,2,U14AA-039,INVISTA Centre (Selkirk),https://lakeshorehockeyleague.net/Groups/1313/Games/2224884/
