scraped_at,date_text,time,away,away_score,home,home_score,game_code,venue,game_url
2025-12-31T03:36:05+00:00,Dec 14 (Sun),6:30 PM,Oshawa Generals,2,Belleville Bulls,5,U14AA-079,Quinte Sports & Wellness Centre (Wally Dever Arena),https://lakeshorehockeyleague.net/Groups/1313/Games/2224656/
2025-12-31T03:36:05+00:00,Dec 21 (Sun),1:30 PM,Belleville Bulls,2,Clarington Toros,5,U14AA-126,South Courtice Arena (Pad B),https://lakeshorehockeyleague.net/Groups/1313/Games/2224661/
2025-12-31T03:36:06+00:00,Dec 14 (Sun),3:00 PM,Kingston Canadians,3,Clarington Toros,3,U14AA-044,South Courtice Arena (Pad B),https://lakeshorehockeyleague.net/Groups/1313/Games/2224662/
2025-12-31T03:36:06+00:00,Dec 12 (Fri),7:00 PM,Oshawa Generals,0,Clarington Toros,1,U14AA-109,Garnet B Rickard Recreation Complex (Rink B),https://lakeshorehockeyleague.net/Groups/1313/Games/2224665/
2025-12-31T03:36:06+00:00,Dec 03 (Wed),7:30 PM,Whitby Wildcats,1,Clarington Toros,4,U14AA-024,Garnet B Rickard Recreation Complex (Toyota),https://lakeshorehockeyleague.net/Groups/1313/Games/2224668/
2025-12-31T03:36:07+00:00,Dec 19 (Fri),7:00 PM,Clarington Toros,4,Northumberland Nighthawks,0,U14AA-120,Cobourg Community Centre (Bowl),https://lakeshorehockeyleague.net/Groups/1313/Games/2224689/
2025-12-31T03:36:07+00:00,Dec 17 (Wed),7:45 PM,North Durham Warriors,3,Northumberland Nighthawks,1,U14AA-057,Cobourg Community Centre (Grace Bowen),https://lakeshorehockeyleague.net/Groups/1313/Games/2224691/
2025-12-31T03:36:07+00:00,Dec 20 (Sat),3:00 PM,Whitby Wildcats,1,Northumberland Nighthawks,2,U14AA-103,Jack Burger Sports Complex,https://lakeshorehockeyleague.net/Groups/1313/Games/2224695/
2025-12-31T03:36:08+00:00,Dec 06 (Sat),7:15 PM,Clarington Toros,4,Oshawa Generals,3,U14AA-130,Delpark Homes Centre (Pad 3),https://lakeshorehockeyleague.net/Groups/1313/Games/2224698/
2025-12-31T03:36:08+00:00,Dec 22 (Mon),8:15 PM,Peterborough Petes,4,Oshawa Generals,2,U14AA-015,Campus Ice Centre (Pad 2),https://lakeshorehockeyleague.net/Groups/1313/Games/2224702/
2025-12-31T03:36:09+00:00,Dec 21 (Sun),1:30 PM,Kingston Canadians,2,Peterborough Petes,1,U14AA-002,Healthy Planet Arena (South Pad),https://lakeshorehockeyleague.net/Groups/1313/Games/2224708/
2025-12-31T03:36:09+00:00,Dec 13 (Sat),4:00 PM,Clarington Toros,1,Quinte West Hawks,7,U14AA-121,Duncan McDonald Memorial Gardens (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224716/
2025-12-31T03:36:09+00:00,Dec 16 (Tue),7:15 PM,Kingston Canadians,3,Quinte West Hawks,2,U14AA-113,McMullen Recreation Centre,https://lakeshorehockeyleague.net/Groups/1313/Games/2224717/
2025-12-31T03:36:10+00:00,Dec 12 (Fri),7:00 PM,Ajax-Pickering Raiders,1,Whitby Wildcats,3,U14AA-111,Iroquois Park Sports Centre (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224723/
2025-12-31T03:36:10+00:00,Dec 19 (Fri),7:00 PM,Belleville Bulls,1,Whitby Wildcats,3,U14AA-008,Iroquois Park Sports Centre (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224724/
2025-12-31T03:36:11+00:00,Dec 14 (Sun),12:15 PM,Quinte West Hawks,7,Whitby Wildcats,3,U14AA-077,Iroquois Park Sports Centre (Pad 4),https://lakeshorehockeyleague.net/Groups/1313/Games/2224731/
2025-12-31T03:36:11+00:00,Dec 21 (Sun),3:00 PM,Quinte West Hawks,5,Ajax-Pickering Raiders,5,U14AA-088,Ajax Community Centre (Pad 4),https://lakeshorehockeyleague.net/Groups/1313/Games/2224871/
2025-12-31T03:36:11+00:00,Dec 20 (Sat),5:30 PM,Ajax-Pickering Raiders,2,Belleville Bulls,2,U14AA-133,Quinte Sports & Wellness Centre (Wally Dever Arena),https://lakeshorehockeyleague.net/Groups/1313/Games/2224872/
2025-12-31T03:36:12+00:00,Dec 12 (Fri),6:00 PM,Peterborough Petes,3,Belleville Bulls,2,U14AA-046,Quinte Sports & Wellness Centre (Mackay Arena),https://lakeshorehockeyleague.net/Groups/1313/Games/2224875/
2025-12-31T03:36:12+00:00,Dec 20 (Sat),4:45 PM,Kingston Canadians,4,North Durham Warriors,0,U14AA-124,Uxbridge Community Centre (Pad 2),https://lakeshorehockeyleague.net/Groups/1313/Games/2224887/
2025-12-31T03:36:12+00:00,Dec 14 (Sun),2:00 PM,Ajax-Pickering Raiders,2,Peterborough Petes,2,U14AA-033,Healthy Planet Arena (South Pad),https://lakeshorehockeyleague.net/Groups/1313/Games/2224899/
2025-12-31T03:36:13+00:00,Dec 20 (Sat),2:15 PM,Peterborough Petes,6,Quinte West Hawks,8,U14AA-086,Duncan McDonald Memorial Gardens (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224907/
2025-12-31T03:36:13+00:00,Dec 17 (Wed),7:30 PM,Oshawa Generals,3,Whitby Wildcats,1,U14AA-005,Iroquois Park Sports Centre (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224911/
