scraped_at,date_text,time,away,away_score,home,home_score,game_code,venue,game_url
2026-01-05T00:37:07+00:00,Jan 08 (Thu),7:15 PM,Clarington Toros,,Ajax-Pickering Raiders,,U14AA-095,Don Beer Arena (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224643/
2026-01-05T00:37:07+00:00,Jan 21 (Wed),7:45 PM,Oshawa Generals,,Ajax-Pickering Raiders,,U14AA-035,Don Beer Arena (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224647/
2026-01-05T00:37:08+00:00,Jan 04 (Sun),5:00 PM,Peterborough Petes,,Ajax-Pickering Raiders,,U14AA-027,Pickering Recreation Complex (Delaney),https://lakeshorehockeyleague.net/Groups/1313/Games/2224648/
2026-01-05T00:37:08+00:00,Jan 11 (Sun),3:00 PM,Quinte West Hawks,,Ajax-Pickering Raiders,,U14AA-117,Ajax Community Centre (Pad 4),https://lakeshorehockeyleague.net/Groups/1313/Games/2224649/
2026-01-05T00:37:09+00:00,Jan 18 (Sun),5:00 PM,Quinte West Hawks,,Belleville Bulls,,U14AA-075,Quinte Sports & Wellness Centre (Wally Dever Arena),https://lakeshorehockeyleague.net/Groups/1313/Games/2224658/
2026-01-05T00:37:09+00:00,Jan 10 (Sat),4:15 PM,Ajax-Pickering Raiders,,Kingston Canadians,,U14AA-040,Centre 70 Arena,https://lakeshorehockeyleague.net/Groups/1313/Games/2224669/
2026-01-05T00:37:09+00:00,Jan 25 (Sun),6:00 PM,Belleville Bulls,,Kingston Canadians,,U14AA-104,Cataraqui Community Centre (Cataraqui Pad),https://lakeshorehockeyleague.net/Groups/1313/Games/2224670/
2026-01-05T00:37:10+00:00,Jan 04 (Sun),5:00 PM,North Durham Warriors,3,Kingston Canadians,3,U14AA-017,Slush Puppy Place,https://lakeshorehockeyleague.net/Groups/1313/Games/2224672/
2026-01-05T00:37:10+00:00,Jan 31 (Sat),6:00 PM,Whitby Wildcats,,Kingston Canadians,,U14AA-135,INVISTA Centre (CUPE),https://lakeshorehockeyleague.net/Groups/1313/Games/2224677/
2026-01-05T00:37:11+00:00,Jan 11 (Sun),6:30 PM,Kingston Canadians,,North Durham Warriors,,U14AA-006,Scugog Arena (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224681/
2026-01-05T00:37:11+00:00,Jan 03 (Sat),6:30 PM,Northumberland Nighthawks,0,North Durham Warriors,1,U14AA-021,Scugog Arena (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224682/
2026-01-05T00:37:12+00:00,Jan 25 (Sun),6:30 PM,Oshawa Generals,,North Durham Warriors,,U14AA-045,Scugog Arena (Pad 1),https://lakeshorehockeyleague.net/Groups/1313/Games/2224683/
2026-01-05T00:37:12+00:00,Jan 11 (Sun),5:00 PM,Belleville Bulls,,Northumberland Nighthawks,,U14AA-132,Cobourg Community Centre (Bowl),https://lakeshorehockeyleague.net/Groups/1313/Games/2224688/
2026-01-05T00:37:13+00:00,Jan 07 (Wed),7:15 PM,Peterborough Petes,,Northumberland Nighthawks,,U14AA-089,Cobourg Community Centre (Grace Bowen),https://lakeshorehockeyleague.net/Groups/1313/Games/2224693/
